index,title,href,rating_story,tone,theme_children_triumph,theme_animals,theme_child_lies,theme_trickster,theme_comeuppance,theme_supernatural,theme_social_satire,theme_meddling_aunt_guardian,theme_hoax_practical_joke,theme_etiquette_weapon,theme_snobbery_status_anxiety,theme_hypocrisy_respectability,theme_philanthropy_backfires,theme_country_house_politics,theme_gossip_scandal_reputation,theme_exotic_elsewhere_disruption,theme_sudden_darkness_punchline,themes_other,notes
39,Sredni Vashtar,text/sredni-vashtar.xhtml,,,,,,,,,,,,,,,,,,,,,
40,The Background,text/the-background.xhtml,,,,,,,,,,,,,,,,,,,,,
41,The Quest,text/the-quest.xhtml,,,,,,,,,,,,,,,,,,,,,
42,Adrian,text/adrian.xhtml,,,,,,,,,,,,,,,,,,,,,
43,The Jesting of Arlington Stringham,text/the-jesting-of-arlington-stringham.xhtml,,,,,,,,,,,,,,,,,,,,,
44,The Penance,text/the-penance.xhtml,,,,,,,,,,,,,,,,,,,,,
45,The Stampeding of Lady Bastable,text/the-stampeding-of-lady-bastable.xhtml,,,,,,,,,,,,,,,,,,,,,
46,“Ministers of Grace”,text/ministers-of-grace.xhtml,,,,,,,,,,,,,,,,,,,,,
47,Filboid Studge,text/filboid-studge.xhtml,,,,,,,,,,,,,,,,,,,,,
48,Esmé,text/esme.xhtml,,,,,,,,,,,,,,,,,,,,,
49,The Peace of Mowsle Barton,text/the-peace-of-mowsle-barton.xhtml,,,,,,,,,,,,,,,,,,,,,
50,The Chaplet,text/the-chaplet.xhtml,,,,,,,,,,,,,,,,,,,,,
51,Mrs. Packletide’s Tiger,text/mrs-packletides-tiger.xhtml,,,,,,,,,,,,,,,,,,,,,
52,The Easter Egg,text/the-easter-egg.xhtml,,,,,,,,,,,,,,,,,,,,,
53,The Hounds of Fate,text/the-hounds-of-fate.xhtml,,,,,,,,,,,,,,,,,,,,,
54,A Matter of Sentiment,text/a-matter-of-sentiment.xhtml,,,,,,,,,,,,,,,,,,,,,
55,The Peace Offering,text/the-peace-offering.xhtml,,,,,,,,,,,,,,,,,,,,,
56,The Recessional,text/the-recessional.xhtml,,,,,,,,,,,,,,,,,,,,,
57,The Infernal Parliament,text/the-infernal-parliament.xhtml,,,,,,,,,,,,,,,,,,,,,
58,The Talking-Out of Tarrington,text/the-talking-out-of-tarrington.xhtml,,,,,,,,,,,,,,,,,,,,,
59,The Music on the Hill,text/the-music-on-the-hill.xhtml,,,,,,,,,,,,,,,,,,,,,
60,The Remoulding of Groby Lington,text/the-remoulding-of-groby-lington.xhtml,,,,,,,,,,,,,,,,,,,,,
61,The Secret Sin of Septimus Brope,text/the-secret-sin-of-septimus-brope.xhtml,,,,,,,,,,,,,,,,,,,,,
62,The Story of St. Vespaluus,text/the-story-of-st-vespaluus.xhtml,,,,,,,,,,,,,,,,,,,,,
63,The Way to the Dairy,text/the-way-to-the-dairy.xhtml,,,,,,,,,,,,,,,,,,,,,
64,The Disappearance of Crispina Umberleigh,text/the-disappearance-of-crispina-umberleigh.xhtml,,,,,,,,,,,,,,,,,,,,,
65,The Schartz-Metterklume Method,text/the-schartz-metterklume-method.xhtml,,,,,,,,,,,,,,,,,,,,,
66,Excepting Mrs. Pentherby,text/excepting-mrs-pentherby.xhtml,,,,,,,,,,,,,,,,,,,,,
67,The Seventh Pullet,text/the-seventh-pullet.xhtml,,,,,,,,,,,,,,,,,,,,,
68,Mrs. Pendercoet’s Lost Identity,text/mrs-pendercoets-lost-identity.xhtml,,,,,,,,,,,,,,,,,,,,,
69,The Open Window,text/the-open-window.xhtml,,,,,,,,,,,,,,,,,,,,,
70,The Cobweb,text/the-cobweb.xhtml,,,,,,,,,,,,,,,,,,,,,
71,The Seven Cream Jugs,text/the-seven-cream-jugs.xhtml,,,,,,,,,,,,,,,,,,,,,
72,Bertie’s Christmas Eve,text/berties-christmas-eve.xhtml,,,,,,,,,,,,,,,,,,,,,
73,Quail Seed,text/quail-seed.xhtml,,,,,,,,,,,,,,,,,,,,,
74,The Interlopers,text/the-interlopers.xhtml,,,,,,,,,,,,,,,,,,,,,
75,The Optimist,text/the-optimist.xhtml,,,,,,,,,,,,,,,,,,,,,
76,The Treasure Ship,text/the-treasure-ship.xhtml,,,,,,,,,,,,,,,,,,,,,
77,The Pond,text/the-pond.xhtml,,,,,,,,,,,,,,,,,,,,,
78,The Blind Spot,text/the-blind-spot.xhtml,,,,,,,,,,,,,,,,,,,,,
79,Dusk,text/dusk.xhtml,,,,,,,,,,,,,,,,,,,,,
80,The Unkindest Blow,text/the-unkindest-blow.xhtml,,,,,,,,,,,,,,,,,,,,,
81,The Sheep,text/the-sheep.xhtml,,,,,,,,,,,,,,,,,,,,,
82,The Threat,text/the-threat.xhtml,,,,,,,,,,,,,,,,,,,,,
83,The Comments of Moung Ka,text/the-comments-of-moung-ka.xhtml,,,,,,,,,,,,,,,,,,,,,
84,The Phantom Luncheon,text/the-phantom-luncheon.xhtml,,,,,,,,,,,,,,,,,,,,,
85,The Yarkand Manner,text/the-yarkand-manner.xhtml,,,,,,,,,,,,,,,,,,,,,
86,Laura,text/laura.xhtml,,,,,,,,,,,,,,,,,,,,,
87,The She-Wolf,text/the-she-wolf.xhtml,,,,,,,,,,,,,,,,,,,,,
88,The Boar-Pig,text/the-boar-pig.xhtml,,,,,,,,,,,,,,,,,,,,,
89,Shock Tactics,text/shock-tactics.xhtml,,,,,,,,,,,,,,,,,,,,,
90,The Lull,text/the-lull.xhtml,,,,,,,,,,,,,,,,,,,,,
91,The Romancers,text/the-romancers.xhtml,,,,,,,,,,,,,,,,,,,,,
92,The Cupboard of the Yesterdays,text/the-cupboard-of-the-yesterdays.xhtml,,,,,,,,,,,,,,,,,,,,,
93,The Purple of the Balkan Kings,text/the-purple-of-the-balkan-kings.xhtml,,,,,,,,,,,,,,,,,,,,,
94,The Hen,text/the-hen.xhtml,,,,,,,,,,,,,,,,,,,,,
95,A Touch of Realism,text/a-touch-of-realism.xhtml,,,,,,,,,,,,,,,,,,,,,
96,The Wolves of Cernogratz,text/the-wolves-of-cernogratz.xhtml,,,,,,,,,,,,,,,,,,,,,
97,The Dreamer,text/the-dreamer.xhtml,,,,,,,,,,,,,,,,,,,,,
98,The Quince Tree,text/the-quince-tree.xhtml,,,,,,,,,,,,,,,,,,,,,
99,The Feast of Nemesis,text/the-feast-of-nemesis.xhtml,,,,,,,,,,,,,,,,,,,,,
100,Cousin Teresa,text/cousin-teresa.xhtml,,,,,,,,,,,,,,,,,,,,,
101,The Byzantine Omelette,text/the-byzantine-omelette.xhtml,,,,,,,,,,,,,,,,,,,,,
102,The Forbidden Buzzards,text/the-forbidden-buzzards.xhtml,,,,,,,,,,,,,,,,,,,,,
103,The Stake,text/the-stake.xhtml,,,,,,,,,,,,,,,,,,,,,
104,Clovis on Parental Responsibilities,text/clovis-on-parental-responsibilities.xhtml,,,,,,,,,,,,,,,,,,,,,
105,The Brogue,text/the-brogue.xhtml,,,,,,,,,,,,,,,,,,,,,
106,The Almanac,text/the-almanac.xhtml,,,,,,,,,,,,,,,,,,,,,
107,A Housing Problem,text/a-housing-problem.xhtml,,,,,,,,,,,,,,,,,,,,,
108,The Oversight,text/the-oversight.xhtml,,,,,,,,,,,,,,,,,,,,,
109,The Hedgehog,text/the-hedgehog.xhtml,,,,,,,,,,,,,,,,,,,,,
110,The Storyteller,text/the-storyteller.xhtml,,,,,,,,,,,,,,,,,,,,,
111,A Holiday Task,text/a-holiday-task.xhtml,,,,,,,,,,,,,,,,,,,,,
112,Fur,text/fur.xhtml,,,,,,,,,,,,,,,,,,,,,
113,The Lumber Room,text/the-lumber-room.xhtml,,,,,,,,,,,,,,,,,,,,,
114,A Sacrifice to Necessity,text/a-sacrifice-to-necessity.xhtml,,,,,,,,,,,,,,,,,,,,,
115,The Elk,text/the-elk.xhtml,,,,,,,,,,,,,,,,,,,,,
116,A Defensive Diamond,text/a-defensive-diamond.xhtml,,,,,,,,,,,,,,,,,,,,,
117,The Stalled Ox,text/the-stalled-ox.xhtml,,,,,,,,,,,,,,,,,,,,,
118,Canossa,text/canossa.xhtml,,,,,,,,,,,,,,,,,,,,,
119,The Name-Day,text/the-name-day.xhtml,,,,,,,,,,,,,,,,,,,,,
120,A Shot in the Dark,text/a-shot-in-the-dark.xhtml,,,,,,,,,,,,,,,,,,,,,
121,Mark,text/mark.xhtml,,,,,,,,,,,,,,,,,,,,,
122,“Down Pens”,text/down-pens.xhtml,,,,,,,,,,,,,,,,,,,,,
123,The Philanthropist and the Happy Cat,text/the-philanthropist-and-the-happy-cat.xhtml,,,,,,,,,,,,,,,,,,,,,
124,On Approval,text/on-approval.xhtml,,,,,,,,,,,,,,,,,,,,,
125,Hyacinth,text/hyacinth.xhtml,,,,,,,,,,,,,,,,,,,,,
126,Fate,text/fate.xhtml,,,,,,,,,,,,,,,,,,,,,
127,The Romance of Business,text/the-romance-of-business.xhtml,,,,,,,,,,,,,,,,,,,,,
128,The Toys of Peace,text/the-toys-of-peace.xhtml,,,,,,,,,,,,,,,,,,,,,
129,Louis,text/louis.xhtml,,,,,,,,,,,,,,,,,,,,,
130,The Bull,text/the-bull.xhtml,,,,,,,,,,,,,,,,,,,,,
131,The Occasional Garden,text/the-occasional-garden.xhtml,,,,,,,,,,,,,,,,,,,,,
132,The Mappined Life,text/the-mappined-life.xhtml,,,,,,,,,,,,,,,,,,,,,
133,The Gala Programme,text/the-gala-programme.xhtml,,,,,,,,,,,,,,,,,,,,,
134,Louise,text/louise.xhtml,,,,,,,,,,,,,,,,,,,,,
135,The Guests,text/the-guests.xhtml,,,,,,,,,,,,,,,,,,,,,
136,The East Wing,text/the-east-wing.xhtml,,,,,,,,,,,,,,,,,,,,,
137,Morlvera,text/morlvera.xhtml,,,,,,,,,,,,,,,,,,,,,
138,Tea,text/tea.xhtml,,,,,,,,,,,,,,,,,,,,,
139,A Bread and Butter Miss,text/a-bread-and-butter-miss.xhtml,,,,,,,,,,,,,,,,,,,,,
140,Clovis on the Alleged Romance of Business,text/clovis-on-the-alleged-romance-of-business.xhtml,,,,,,,,,,,,,,,,,,,,,
141,Forewarned,text/forewarned.xhtml,,,,,,,,,,,,,,,,,,,,,
142,For the Duration of the War,text/for-the-duration-of-the-war.xhtml,,,,,,,,,,,,,,,,,,,,,
